Espécie,Latitude,Longitude
Melanoides_tuberculata,31.515411,130.858877
Melanoides_tuberculata,31.904133,131.422113
Melanoides_tuberculata,35.420714,133.316855
Melanoides_tuberculata,34.798786,135.065488
Melanoides_tuberculata,36.386659,137.845867
Melanoides_tuberculata,40.420683,140.87887
Melanoides_tuberculata,43.66374,144.348066
Melanoides_tuberculata,26.946308,84.176209
Melanoides_tuberculata,27.820753,82.629103
Melanoides_tuberculata,24.350513,75.421666
Melanoides_tuberculata,28.246045,78.36546
Melanoides_tuberculata,31.037971,70.837279
Melanoides_tuberculata,27.364111,67.640626
Melanoides_tuberculata,31.042967,70.820669
Melanoides_tuberculata,28.054659,62.957808
Melanoides_tuberculata,40.205696,45.555451
Melanoides_tuberculata,40.956524,46.064582
Melanoides_tuberculata,24.456461,54.606224
Melanoides_tuberculata,24.771427,54.750713
Melanoides_tuberculata,24.854843,24.854843
Melanoides_tuberculata,25.406219,55.456169
Melanoides_tuberculata,25.436931,56.270281
Melanoides_tuberculata,26.882753,55.873416
Melanoides_tuberculata,24.627008,51.295671
Melanoides_tuberculata,26.410811,50.204258
Melanoides_tuberculata,18.566362,41.415282
Melanoides_tuberculata,18.973017,41.255869
Melanoides_tuberculata,29.550158,34.970396
Melanoides_tuberculata,28.708922,34.961435
Melanoides_tuberculata,28.053011,34.415575
Melanoides_tuberculata,14.481109,40.201502
Melanoides_tuberculata,13.204444,40.897757
Melanoides_tuberculata,11.574116,42.555931
Melanoides_tuberculata,16.44475,37.362959
Melanoides_tuberculata,24.006131,32.880959
Melanoides_tuberculata,29.03694,36.264476
Melanoides_tuberculata,30.078873,39.848639
Melanoides_tuberculata,32.721779,35.600512
Melanoides_tuberculata,33.563469,35.698207
Melanoides_tuberculata,34.59333,36.527051
Melanoides_tuberculata,34.751801,32.921812
Melanoides_tuberculata,35.173378,33.09142
Melanoides_tuberculata,31.008219,29.691716
Melanoides_tuberculata,29.27228,25.930424
Melanoides_tuberculata,29.747587,19.744847
Melanoides_tuberculata,33.598576,8.758205
Melanoides_tuberculata,35.339282,4.98439
Melanoides_tuberculata,33.951915,-0.3788
Melanoides_tuberculata,32.428115,-7.53976
Melanoides_tuberculata,32.083088,-8.674088
