Especie,Latitude,Longitude
Biomphalaria_glabrata,-18.291525,-43.014739
Biomphalaria_glabrata,-19.796804,-43.869163
Biomphalaria_glabrata,-20.315712,-42.609851
Biomphalaria_glabrata,-18.549736,-42.764478
Biomphalaria_glabrata,-21.365439,-43.250011
Biomphalaria_glabrata,-19.724815,-43.96426
Biomphalaria_glabrata,-23.299275,-50.31525
Biomphalaria_glabrata,-22.774043,-51.236155
Biomphalaria_glabrata,-23.37501,-50.816586
Biomphalaria_glabrata,-23.08742,-50.360996
Biomphalaria_glabrata,-23.114848,-50.184123
Biomphalaria_glabrata,-23.040859,-50.070173
Biomphalaria_glabrata,-23.265901,-51.253255
Biomphalaria_glabrata,-25.322317,-49.079983
Biomphalaria_glabrata,-22.823146,-51.569909
Biomphalaria_glabrata,-22.842468,-51.968802
Biomphalaria_glabrata,-23.544794,-50.555819
Biomphalaria_glabrata,-24.294968,-53.308958
Biomphalaria_glabrata,-24.177698,-51.684173
Biomphalaria_glabrata,-23.283898,-51.068394
Biomphalaria_glabrata,-23.260903,-50.982591
Biomphalaria_glabrata,-23.081506,-50.752419
Biomphalaria_glabrata,-23.334915,-51.159362
Biomphalaria_glabrata,-23.479437,-51.813146
Biomphalaria_glabrata,-23.332164,-50.718314
Biomphalaria_glabrata,-22.750617,-51.380238
Biomphalaria_glabrata,-23.068752,-50.911589
Biomphalaria_glabrata,-23.60428,-49.621108
Biomphalaria_glabrata,-23.495926,-50.646293
Biomphalaria_glabrata,-29.83239,-51.181488
Biomphalaria_straminea,-22.901459,-50.564155
Biomphalaria_straminea,13.896434,-60.988484
Biomphalaria_straminea,14.032767,-60.964156
Biomphalaria_straminea,-19.8574,-43.979313
Biomphalaria_straminea,-23.410345,-51.916379
Biomphalaria_straminea,-23.477585,-45.388985
Biomphalaria_straminea,-14.90571,-43.949089
Biomphalaria_straminea,-16.700659,-49.294124
Biomphalaria_straminea,-4.384797,-38.781389
Biomphalaria_straminea,10.201597,-67.703375
Biomphalaria_straminea,-8.010275,-35.020471
Biomphalaria_straminea,11.01932,-68.426316
Biomphalaria_straminea,-20.809672,-49.373245
Biomphalaria_straminea,-6.822048,-38.642583
Biomphalaria_straminea,-19.95978,-49.454013
Biomphalaria_straminea,-8.225928,-35.528912
Biomphalaria_straminea,-1.299372,-48.502096
Biomphalaria_straminea,-7.074476,-41.437139
Biomphalaria_straminea,-2.58392,-44.293978
Biomphalaria_straminea,-11.188344,-40.0988
Biomphalaria_straminea,-3.797616,-38.504844
Biomphalaria_straminea,-2.692677,-78.217247
Biomphalaria_straminea,4.884261,-52.310598
Biomphalaria_straminea,-16.198851,-48.500312
Biomphalaria_straminea,-5.066241,-42.833973
Biomphalaria_straminea,-9.66759,-36.988078
Biomphalaria_straminea,-3.007548,-44.524312
Biomphalaria_straminea,-4.234465,-40.434897
Biomphalaria_straminea,-3.587119,-38.950892
Biomphalaria_straminea,-5.290511,-35.419982
Biomphalaria_straminea,-35.419982,-35.292322
Biomphalaria_straminea,-6.281883,-35.82994
Biomphalaria_straminea,-7.981411,-35.756194
Biomphalaria_straminea,-7.068809,-37.899393
Biomphalaria_straminea,-11.416035,-37.427776
Biomphalaria_straminea,-11.540282,-40.088555
Biomphalaria_straminea,-12.508679,-39.161759
Biomphalaria_straminea,-13.854803,-40.414236
Biomphalaria_straminea,-15.981179,-39.844427
Biomphalaria_straminea,-18.417544,-45.317718
Biomphalaria_straminea,-21.430151,-44.476627
