Especie,Latitude,Longitude
Melanoides_tuberculata,-9.943231,-42.16494
Melanoides_tuberculata,-8.611138,-39.555257
Melanoides_tuberculata,-10.644689,-39.743358
Melanoides_tuberculata,-15.793943,-44.762269
Melanoides_tuberculata,-18.262683,-45.254578
Melanoides_tuberculata,-19.822906,-44.784767
Melanoides_tuberculata,-20.020288,-44.34655
Melanoides_tuberculata,-20.024998,-44.111387
Melanoides_tuberculata,-20.188144,-43.960713
Melanoides_tuberculata,-21.311504,45.83045
Melanoides_tuberculata,-19.856965,-43.978515
Melanoides_tuberculata,-21.587599,-43.552619
Melanoides_tuberculata,-22.535087,-44.66802
Melanoides_tuberculata,-22.623918,-48.142418
Melanoides_tuberculata,-20.155156,-20.155156
Melanoides_tuberculata,12.096799,-61.696877
Melanoides_tuberculata,-5.027247,-75.78753
Melanoides_tuberculata,-4.671083,-80.500073
Melanoides_tuberculata,-5.540159,-80.644213
Melanoides_tuberculata,-5.908336,-80.687893
Melanoides_tuberculata,-6.583073,-80.142955
Melanoides_tuberculata,11.843241,-85.408329
Melanoides_tuberculata,12.401539,-86.587238
Melanoides_tuberculata,13.142826,-85.98056
Melanoides_tuberculata,12.4327,-83.723612
Melanoides_tuberculata,14.274207,-83.299332
Melanoides_tuberculata,14.90542,-83.346754
Melanoides_tuberculata,10.84737,-83.763334
Melanoides_tuberculata,-27.498952,-56.626488
Melanoides_tuberculata,-26.994194,-55.204002
Melanoides_tuberculata,-30.178164,-59.646212
Melanoides_tuberculata,-26.906429,-63.803087
Melanoides_tuberculata,-23.328516,-64.02105
Melanoides_tuberculata,-25.394716,-67.089313
Melanoides_tuberculata,-24.659087,-67.756455
Melanoides_tuberculata,-26.420579,-68.163307
Melanoides_tuberculata,-25.737127,-68.388276
Melanoides_tuberculata,-25.324364,-67.980967
Melanoides_tuberculata,-25.00667,-68.156289
Melanoides_tuberculata,-24.202831,-67.606155
Melanoides_tuberculata,-20.658039,-68.636362
Melanoides_tuberculata,-19.635752,-68.790968
Melanoides_tuberculata,-19.386217,-68.620779
Melanoides_tuberculata,-19.260425,-68.736118
Melanoides_tuberculata,-19.204292,-68.887953
Melanoides_tuberculata,-19.022402,-69.322243
Melanoides_tuberculata,-18.244623,-69.169983
Melanoides_tuberculata,-17.636709,-69.631365
Melanoides_tuberculata,-69.631365,-67.104409
Melanoides_tuberculata,-17.635608,-67.516129
Melanoides_tuberculata,-13.921319,-66.952755
Melanoides_tuberculata,-11.478742,-67.510195
Melanoides_tuberculata,-10.745168,-65.817396
Melanoides_tuberculata,-2.939866,-60.531146
Melanoides_tuberculata,-1.379,-59.733892
Melanoides_tuberculata,-2.403057,-56.260254
Melanoides_tuberculata,4.766413,-55.044888
Melanoides_tuberculata,3.434575,-52.116786
Melanoides_tuberculata,0.906486,-51.232973
Melanoides_tuberculata,6.100209,-58.582261
Melanoides_tuberculata,4.869125,-61.733042
Melanoides_tuberculata,7.02283,-62896185
Melanoides_tuberculata,7.584497,-64.944885
Melanoides_tuberculata,9.027602,-67.383284
Melanoides_tuberculata,9.884503,-71.94512
